ID;Nom;Ville;Adresse;CP;Secteur;Type;Tel;Email
91;Rectorat De L'Académie D'Orléans-Tours;Orléans Cedex 1;21 rue Saint-Etienne;45043;NC;NC;;
92;Alta Concept;Le Mans;167 Rue de Beaugé;72000;NC;NC;;
93;Chru Bretonneau Tours;Tours;2 boulevard Tonnellé;37044;NC;NC;;
94;Leagora;Paris;36 RUE POLONCEAU;75018;NC;NC;;
95;Ze Company;Saint-Jean-Le-Blanc;35 rue des Anguignis;45650;NC;NC;;
96;Ferme Des Arches;Terminiers;Gommiers;28140;NC;NC;;
97;Msl Circuits;Meung-Sur-Loire;3 Parc Synergie Val de Loire 3ème avenue;45130;NC;NC;;
98;Evastin;2037 Ariana;Résidence ESSALEM Rue Lamine Chebbi;;NC;NC;;
99;Technicentre Saint-Pierre-Des-Corps;Saint-Pierre-Des-Corps;71 Rue des Ateliers;37700;NC;NC;;
100;Allianz Technology;Puteaux;1 cours michelet;92800;NC;NC;;
101;Federation Agirc Arrco;Paris Cedex 12;16-18 rue Jules Cesar;75592;NC;NC;;
102;Creaweb;Saint-Cyr-Sur-Loire;61 Rue du Mûrier;37540;NC;NC;;
103;Chartres Métropole Innovations Numériques (Cm'In);Le Coudray;9 rue Auguste Rodin;28630;NC;NC;;
104;Site Bourges Aeroport;Bourges;Rond Point Marcel Hanriot Route d'Issoudun;18020;NC;NC;;
105;Sarl Ze-Company;Orleans;7 rue des Lavandières;45100;NC;NC;;
106;Afpp;Tours;14 boulevard Preuilly;37000;NC;NC;;
107;Parfums Christian Dior;Saint-Jean-De-Braye Cedex;185 avenue de Verdun;45800;NC;NC;;
108;Atos France;Bezons;80 Quai Voltaire;95870;NC;NC;;
109;Euro-Information;Orléans;105 rue du Faubourg Madelaine;45000;NC;NC;;
110;Service Scolarité;Orleans Cedex 2;10 rue de Tours BP46527;45065;NC;NC;;
111;Ads-Com;Orléans;15 rue de la Bourie Blanche;45000;NC;NC;;
112;Inéo Centre;Orleans Cedex 2;14 Rue de la Fonderie P.A. des Montées - CS 30038;45073;NC;NC;;
113;Hutchinson (Sa);Paris;2 rue Balzac;75008;NC;NC;;
114;Brgm;Orléans Cedex;3 avenue Claude Guillemin  BP 36009;45100;NC;NC;;
115;Sncf Voyageurs Etablissement Ter Cvdl;Tours;3 rue Edouard Vaillant;37000;NC;NC;;
116;Haisoft;Orléans;7 rue Vieille Levée;45100;NC;NC;;
117;Conseil Departemental Du Loiret;Orléans;15 RUE Eugène Vignat;45000;NC;NC;;
118;Sas Precicast Prt;Thore La Rochette;24 RTE DE ROCHAMBEAU;41100;NC;NC;;
119;Sodisoft;Brinon Sur Sauldre;ZA Les Pointards;18410;NC;NC;;
120;It-Sis;Fleury-Les-Aubrais;2 Rue des Hêtres;45140;NC;NC;;
121;Umr Prodig;Aubervilliers;5 cours des Humanités Campus Condorcet Batiment Recherche Su;93322;NC;NC;;
122;Lacour Concept;St Doulchard;1 avenue Henri Debord;18230;NC;NC;;
123;Proditrans Express;Saint-Cyr-En-Val;180 Rue des Bruyères;45590;NC;NC;;
124;Cedrem;Neung-Sur-Beuvron;ECOPARC - Domaine de Villemorant;41210;NC;NC;;
125;Gerico;Paris;18, rue de la Pierre Levée;75011;NC;NC;;
126;Yellowtwigs;Grenoble;10 rue Lieutenant Chanaron;38000;NC;NC;;
127;Chu Orleans;Orleans;14 AVENUE DE L HOPITAL;45100;NC;NC;;
128;Association Assemblée Mission Pionnière;Orleans;1 Boulevard de Quebec;45000;NC;NC;;
129;Rectorat Orléans-Tours;Orléans Cedex;10 rue Molière;45043;NC;NC;;
130;Al Amana Microfinance;Rabat;140, Avenue Al Fadila, CYM;10130;NC;NC;;
131;C.N.R.S. Uar 0855 Dt Insu;Gif-Sur-Yvette;1 Avenue de la Terasse;91190;NC;NC;;
132;Institut National De Recherche Pour L'Agriculture, L'Alimentation Et L'Environnement - Inrae Centre Val De Loire;Nouzilly;Domaine de l'Orfrasière;37380;NC;NC;;
133;Dalena An Co;Paris;29 bis Rue DES FRANCS BOURGEOIS;75004;NC;NC;;
134;Haisoft;Orléans;7 rue Vieille Levée;45100;NC;NC;;
135;Solutions Evénements Sas;Saint Witz;10 rue de la Ferme St Ladre  ZI FOSSES;95470;NC;NC;;
136;Le Mouvement Associatif Centre-Val De Loire;Fleury Les Aubrais;6 ter rue Abbé Pasty;45400;NC;NC;;
137;Fts Welding;Joue-Les-Tours;17 RUE NICOLAS APPERT;37300;NC;NC;;
138;Stategeo;Yerres;118 rue de concy 91330 Yerres;91330;NC;NC;;
139;Orléans Nord Immobilier;Saint Jean De Braye;10 Passage de l'Hôtel de Ville;45800;NC;NC;;
140;Moteurs Leroy-Somer;Saint-Jean-De-Braye;1 rue de La Burelle;45800;NC;NC;;
141;Haris Rénovation;Fleury-Les-Aubrais;21 rue Jacques Prévert;45400;NC;NC;;
142;Bert & You Logistique;Saint-Rambert-D'Albon;240 ROUTE DES SORBIERS ZONE AXE 7 OUEST;26140;NC;NC;;
143;Nk Formation;Chateaudun;27 rue du colonel girard;28200;NC;NC;;
144;Delice Paradise;Orleans;4 Place du Bois;45100;NC;NC;;
145;C.N.R.S.;Orleans La Source;3 Avenue de la Recherche Scientifique;45100;NC;NC;;
146;Amap Malakoff Humanis;Paris;21 rue Laffitte;75009;NC;NC;;
147;Maestro Bm;Saint-Michel-De-Volangis;2 ROUTE DES AIX;18390;NC;NC;;
148;Cybeletech;Orléans;Le LAB'O - 1, avenue du Champ-de-Mars;45100;NC;NC;;
149;Dymension;Lyon;BATIMENT F1 213 RUE DE GERLAND;69007;NC;NC;;
150;Uxia;Paris;49 rue de Ponthieu;75008;NC;NC;;
151;Pfaf-Santé;Chanteau;Route de la fontaine à Mignan;45404;NC;NC;;
152;Fbd International;Tremblay-En-France;10-14 rue de Rome - 93290 Tremblay en France;93290;NC;NC;;
153;Pga Electronic Pga Electronic - Pga Avionics;Montierchaume;AVENUE JEAN MONNET ZI LA MALTERIE;36130;NC;NC;;
154;Le Breton Herve;Le Breil Sur Merize;1 rue gambetta;72370;NC;NC;;
155;Cer France Alliance Centre;Saint Jean De La Ruelle;500 rue Léon Foucault;45140;NC;NC;;
156;Diggers;Paris;10 rue de Penthièvre 45 rue Boissy d'Anglas;75008;NC;NC;;
157;Enerflux Sas;Blois Cedex;28 à 34 rue Robert Nau;41000;NC;NC;;
158;Bayer Seeds Sas;Autry-Le-Châtel;3360 Route de Gien;45500;NC;NC;;
159;Chartres Métropole Innovations Numériques (Cm'In);Le Coudray;9 rue Auguste Rodin;28630;NC;NC;;
160;Mepag (Mouvement Des Entreprises Du Pays Giennois);Gien;14 RUE DE LA BOSSERIE;45500;NC;NC;;
161;Base Aerienne 705;Tours Cedex 2;BASE AERIENNE 705 ZONE MILITAIRE;37076;NC;NC;;
162;Projetek;Coullons;ZA Les Cartelets;45720;NC;NC;;
163;Messie Services;Cormery;40 rue des Roches, logement 20;37320;NC;NC;;
164;Cc Vierzon-Sologne-Berry;Vierzon;2 RUE BLANCHE BARON;18100;NC;NC;;
165;Troyes Champagne Metropole;Troyes;1 ROND-POINT ROBERT GALLEY TROYES;10000;NC;NC;;
166;Service Départemental D'Incendie Et De Secours De Loir-Et-Cher;Blois;11-13 avenue Gutenberg;41043;NC;NC;;
167;Arcanit;Orléans;23 Rue Antigna;45000;NC;NC;;
168;Orléans Futsal;Orléans;15 RUE DU COLONEL O'NEILL;45000;NC;NC;;
169;Chartres Métropole Innovations Numériques (Cm'In);Le Coudray;9 rue Auguste Rodin;28630;NC;NC;;
170;Adèle Aide;Arcisses;7 rue du gué;28400;NC;NC;;
171;Université D'Orléans;Orleans Cedex2;Château de La Source Avenue du Parc Floral - B.P. 6759;45067;NC;NC;;
172;Université D'Orléans;Orleans Cedex2;Château de La Source Avenue du Parc Floral - B.P. 6759;45067;NC;NC;;
173;Ads-Com;Orléans;15 rue de la Bourie Blanche;45000;NC;NC;;
174;Lifo;Orléans;6 avenue Léonard de Vinci;45067;NC;NC;;
175;Coreoz;Paris;4 rue Auber;75009;NC;NC;;
176;Cnpe Dampierre-En-Burly;Dampierre-En-Burly;Route de Gien;45570;NC;NC;;
177;Université D'Orléans;Orleans Cedex2;Château de La Source Avenue du Parc Floral - B.P. 6759;45067;NC;NC;;
178;Observatoire De Radioastronomie;Nancay;Route de Souesmes;18330;NC;NC;;
179;Leroy Somer / Groupe Nidec;Saint Jean De Braye;11 rue de la Burelle;45800;NC;NC;;
180;Maquet Sas;Ardon Cedex;rue de la pomme de pin PARC DE LIMERE   - CS 10008;45160;NC;NC;;
181;Elféa;Château-Renard;99 RUE GÉNÉRAL DE GAULLE;45220;NC;NC;;
182;Université D'Orléans;Orleans Cedex2;Château de La Source Avenue du Parc Floral - B.P. 6759;45067;NC;NC;;
183;L'Abeille Et Le Fil;Jargeau;14 rue de la bâte;45150;NC;NC;;
184;Touraine Sport Formation;La Riche;33 AVENUE DU COUVENT DES MINIMES;37520;NC;NC;;
185;Garage Raignault (Garage Du Grand Coquille);Saint-Jean-De-Braye;13 All. du Grand Coquille;45800;NC;NC;;
186;Centre National De La Propriété Forestière (C.N.P.F.);Paris;47 rue de Chaillot;75116;NC;NC;;
187;Direction Générale Des Finances Publiques;Montreuil;10 rue Auguste Blanqui;93186;NC;NC;;
188;Etablissement Public De Sante Mentale Du Loiret Georges Daumézon;Fleury Les Aubrais;1 route de Chanteau BP 62016;45402;NC;NC;;
189;Seven Food;Ingré;9 place de la Mairie;45140;NC;NC;;
190;Disi Ile De France;Versailles;54 RUE DES CHANTIERS;78000;NC;NC;;
191;C.N.R.S. - Laboratoire De Physique Et De Chimie De L'Environnement Et De L'Espace (L.P.C.2.E.);Orléans;Délégation Centre Poitou-Charentes 3A avenue de la Recherche Scientifique;45071;NC;NC;;
192;Groupama Paris Val De Loire;Olivet;60 boulevard duhamel du monceau;45160;NC;NC;;
193;Spaycific Zoo Developpement Durable;Spay;464 route de la martinière;72700;NC;NC;;
194;Archistream;Aubervillier;37 rue Lautréamont;93300;NC;NC;;
195;Fur'Bar Tours;Tours;1 ALLEE PELLETIER D'OISY;37000;NC;NC;;
196;Commune De Bléré;Bléré;35 rue de loches;37150;NC;NC;;
197;Université D'Orléans;Orleans Cedex2;Château de La Source Avenue du Parc Floral - B.P. 6759;45067;NC;NC;;
198;Adèle Aide;Arcisses;7 rue du gué;28400;NC;NC;;
199;Opac36;Chateauroux;BP 115 90 AVENUE CHARLES DE GAULLE;36000;NC;NC;;
200;Relais Orléanais;Orléans;41 Faubourg Madeleine;45000;NC;NC;;
201;Dsi France Travail;Paris;Le Cinetic 1 Avenue du Docteur Gley;75020;NC;NC;;
202;Lifo;Orléans;6 avenue Léonard de Vinci;45067;NC;NC;;
203;Préfècture Du Loiret;Orléans;181 rue de bourgogne;45042;NC;NC;;
204;Frp;Saint Jean De Braye;40 allée du grand coquille;45800;NC;NC;;
