service_adm_nom_service,service_adm_adr1_service,service_adm_adr2_service,service_adm_cp_service,service_adm_ville_service
TOURAINE SPORT FORMATION,33 AVENUE DU COUVENT DES MINIMES,,37520,LA RICHE
GARAGE RAIGNAULT (GARAGE DU GRAND COQUILLE),13 All. du Grand Coquille,,45800,SAINT-JEAN-DE-BRAYE
CENTRE NATIONAL DE LA PROPRIÉTÉ FORESTIÈRE (C.N.P.F.),47 rue de Chaillot,,75116,PARIS
DIRECTION GÉNÉRALE DES FINANCES PUBLIQUES,10 rue Auguste Blanqui,,93186,MONTREUIL
ETABLISSEMENT PUBLIC DE SANTE MENTALE DU LOIRET GEORGES DAUMÉZON,1 route de Chanteau,BP 62016,45402,FLEURY LES AUBRAIS
SEVEN FOOD,9 place de la Mairie,,45140,INGRÉ
DISI ILE DE FRANCE,54 RUE DES CHANTIERS,,78000,VERSAILLES
C.N.R.S. - LABORATOIRE DE PHYSIQUE ET DE CHIMIE DE L'ENVIRONNEMENT ET DE L'ESPACE (L.P.C.2.E.),Délégation Centre Poitou-Charentes,3A avenue de la Recherche Scientifique,45071,ORLÉANS 
GROUPAMA PARIS VAL DE LOIRE ,60 boulevard duhamel du monceau, ,45160,OLIVET
HUTCHINSON (SA) ,2 rue Balzac,,75008,PARIS
SPAYCIFIC ZOO DEVELOPPEMENT DURABLE,464 route de la martinière,,72700,SPAY
ARCHISTREAM,37 rue Lautréamont,,93300,AUBERVILLIER
FUR'BAR TOURS,1 ALLEE PELLETIER D'OISY,,37000,TOURS
"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT - INRAE CENTRE VAL DE LOIRE",Domaine de l'Orfrasière,,37380,NOUZILLY
UMR PRODIG,5 cours des Humanités,Campus Condorcet Batiment Recherche Su,93322,AUBERVILLIERS
COMMUNE DE BLÉRÉ,35 rue de loches,,37150,BLÉRÉ
SYSTEMES INFORMATION HARMONIE MUTUELLE,143 rue Blomet,,75015,PARIS
UNIVERSITÉ D'ORLÉANS,Château de La Source,Avenue du Parc Floral - B.P. 6759,45067,ORLEANS CEDEX2
ADÈLE AIDE,7 rue du gué,,28400,ARCISSES
LE MOUVEMENT ASSOCIATIF CENTRE-VAL DE LOIRE,6 ter rue Abbé Pasty,,45400,FLEURY LES AUBRAIS
OPAC36,BP 115,90 AVENUE CHARLES DE GAULLE,36000,CHATEAUROUX
RELAIS ORLÉANAIS,41 Faubourg Madeleine,,45000,ORLÉANS
DELICE PARADISE,4 Place du Bois,,45100,ORLEANS
DSI FRANCE TRAVAIL,Le Cinetic 1 Avenue du Docteur Gley,,75020,PARIS
LIFO ,6 avenue Léonard de Vinci, ,45067,ORLÉANS
PRÉFÈCTURE DU LOIRET,181 rue de bourgogne ,,45042,ORLÉANS 
FRP,40 allée du grand coquille,,45800,SAINT JEAN DE BRAYE 
